user_id,value
C8TWGR4KZ4,1
EMRI7NA0VJ,1
262T1FND1O,3
SQ0ZR9BIHW,0
JW0COZ0P5L,1
246W4FDY2C,1
7JNPSKR3WG,0
2L2TD1PT1Q,2
RXUEOD3AO8,0
1OGHDEQOOQ,1
NRNJ8I3BLL,5
CP2LMIFJM6,2
KXJ4PAD360,3
H4HDHSBFJH,0
VWK16BP29H,0
NUGOAPO2OH,3
SJDQF7JL12,2
SCJHFFMWSW,2
MVDF0MLR4U,5
M3LU714BQ9,1
O06TRVPQWR,0
GMNJ9GPCRR,0
XAIFKCDXJW,2
SXBUS2ZNKF,0
DOCFC0YE7F,1
0MT3ZUPPZV,0
TTITG8XGEM,1
96TS18DA5E,0
9I6JHUAYDY,0
7BPWKLPOC4,0
ACHFG12WKD,0
IACZPIO1NY,3
0IM4E38OOL,0
XAPIUMN2SD,0
BWZ3KFXMS3,4
VJLZ9O6HRI,0
AHM0JWAXBN,0
4PMLFVJS9F,1
TE752RFIUW,1
B4M9F256R0,2
02ETP9GGPP,0
FT84WZ7LE0,1
PQOR8MOEKU,1
56P66MLINL,0
GWBG4E7DAJ,3
TG4VCECA3B,0
VDPWFQ6J58,0
DWX3AUF02F,3
SABF78ULJ4,0
RQX3JKR7IF,2
QEZG8YPZA0,2
RXUB643LEG,1
9JFDVKG5V9,4
5QE4TN22BX,8
R25DT144VG,2
7L3W5OBX0L,2
BGJ5XDKZMG,0
PLINEHW7J9,0
QD0I1G7TBD,1
G1L4ZS1Q9X,2
APFA540M9Z,2
BDIIFJE7NF,5
LOL2QIPHSB,7
I80SHVM17T,0
6XCGG9RHZK,1
H7PO97TYDZ,0
6WIPYT1VQ1,3
4L6SJ3BQNM,0
MURMX9AA88,0
DRFF6ISSB5,6
8P5OQEQUPR,1
AWJRDMIL2Z,3
ZJTLG97J1J,2
SU8X3D9MSH,2
3FZXCSYEOQ,0
85P6L7XQD5,0
8XGW7QHN51,0
GSEFTTS15F,0
0RWRUGMY81,4
MWU1NDT1QA,1
6H4A1OVX6K,0
I4WRIEFA7Z,0
2348KETWE6,0
S0ON6BXTDR,2
CSGQ9P0ID9,5
Z7IU76TK5O,0
YPEKCI4HS6,2
IKHMWNRMWY,6
5BJ8VEDPE8,1
PLJF4WZ8H1,0
OGXHLR984S,3
GHZDDUT0Q7,0
Y538KM6WXD,1
AVZUO4C07S,2
AXI6BW3SH0,0
WBU113YNYM,4
GH3MUVYWJV,5
S3YS9C6IRK,0
FCM65XUNRB,0
QWLTWGXHA9,3
Y7K6SMPRAF,1
D1OK73BN0T,2
0J74T50VZ7,0
5MPKDNUJZG,1
KTYZ1FNWCI,3
V84KYGDTVG,0
1T54CFLYQ5,2
COB9A5LR70,1
TTMGDHAAJ6,0
OJ28FBB1DV,1
7JLJ6OJGQR,0
2YXYSZXWUG,5
6HE5AUN8S2,0
HY2ZHOMXW0,0
UO4WHUYL98,4
7D6C5MA3P9,0
HV98Y6NPCV,1
6N2X44P1FV,3
Q7HBRSZWSR,11
6PFKSEQKX8,0
KDTZLS1PWL,0
O237FCL2BK,2
MULFMFZD30,5
FAHNCQKG71,0
LFJMZ0QQYI,7
PLOHNBIMSU,0
EPFW9XQJM0,0
L3U1UTEPKO,0
9LFXV2FI4R,0
4T1CMMOON7,0
U645PNYT7S,0
S0KWNPYH8C,0
BU3GOE6VVP,0
WWTCUYMOWO,4
PGIP6B3UF7,5
OC85C4Y2X7,1
NYHUQ3U9BG,3
HGSAU7DB0K,0
1JYWCWJG4X,1
ABSIO9RIQW,2
K99Z8N2J48,1
5S2K051IYD,3
VPT80MELJA,0
NKHZ6MQZ1Y,0
8PWG63YP90,7
YDKTP49OMB,2
H1NTFPU73G,0
0Q9E26Q6Y4,2
SNBJGB92S9,3
EXPO5PA07Q,0
NAKDVUFGFA,0
X1SBB0VEB7,0
ZK6YZW4CGD,2
V2PM80TKAQ,0
R8MYXN8ZOJ,8
JIFMDWD6V6,4
4GNQLYVMN7,0
0B4MFR074A,0
AKAWS3R68L,3
UE6WCTB154,6
SPTVXEKB6W,1
5VD84HAJ5Y,1
DZ3C27ID66,5
UWTCPP8A0S,2
4BZ9584JFC,2
OHRBYOO3RN,1
CEY0E6B23L,1
658PRHGJLO,1
U59QXJIRYE,0
7K8SIYYL9F,0
BIMJRJIL3O,0
28LZPGD49Q,0
T8UHLZQ4IH,4
LIKJPDIZZS,1
91TX9GKLIF,1
T9DUUS84L3,2
3YZHDX7OTO,0
MA0Z9DJX18,2
1C51FDDOIE,1
VC17UAJGEM,0
6WUOQT8L9Z,0
M4JO2QHDYM,8
9S4AX0GAMS,14
M0JDE9Q5HT,0
9DQ8OBOL41,4
L0PAKQUN8K,2
K9KWFWVLB1,0
GE1KJKA9GI,0
R5QAAG32HJ,3
TF3IR4JPB0,6
JMFDH5OMPF,0
2BSVCREXIP,1
PUUS6H2ENP,2
WNF4OE1B4X,1
CUK5WMDQ4S,1
EOLH81OHON,5
HNQV042CD4,0
36G9Q8EC8G,0
NLFNCIM9ZO,4
VA69KZQNDF,0
T7850JY2E1,0
19RDUJGPX8,2
EP2IRLZO10,0
TXDDKT7VFB,0
7HDLYI1Z1J,2
IFRX5IGUIT,0
5KNEHFCCLF,0
GZ1B01KXJY,1
0UGMSYK20D,0
80WQPZTSAH,1
F8PK9LA8ZN,0
L85IEX5CAL,0
0IV7FRBHE2,0
S3BSQ9YHI8,0
64VRRMQ0UT,0
XZ5DQLJOHK,2
NPT5CVKT0H,3
0AHFOKICV0,1
UUG652OPPR,1
2ECBOTP12H,0
X0JD7V4FWF,0
0GGKGMCTZ1,2
88Z2D8G7G6,3
IVF7JNICYP,6
CSPTYAK1TJ,1
LFLN3FDLPO,1
OA1S5ZK1TW,2
90FX4DQKP2,0
3JXB210V5E,0
7RQAE1KZ9B,1
QV15WOAO7N,3
G6SPZBU37W,1
POP2P9M3T9,0
E9A2ISFMAE,1
A76WT8H0RE,3
E0YNTUJM7G,6
I67MKAPHGU,1
J6ZO9UYZRH,3
ZINO4CO548,1
9NPV2HYF3S,5
RAUD7BSYSH,0
DM4PXEG8N6,1
B58Z3CY1WB,3
Y11CB5A0KC,1
KDGKLB59K0,3
3O8UXL7VBO,2
6JPC47ZQLW,0
96YS9Y1N8A,4
L2PWJIZJTE,0
HF8MF0CYYN,1
TKLTHEQW6Y,1
FEG96DYUV8,0
FE8VI80RFB,2
82VSK6TN6J,3
KWKWVZHITR,8
DYBYE27LNJ,0
S7BUHYJWY6,0
V00TRSEV9H,5
5V26XI5LLG,1
EJ62S0Y8BT,0
QXN1MXBT9G,1
P9FNZ0K2ON,0
I198CEMK2J,2
P15RZRMY9E,0
808UM9LNEN,0
P34ZDM6UB3,0
DDLWP2KH9U,0
L9T012YJBL,1
VOGSHMRSOK,0
KUXVQ44DQT,1
62GVEQ81DK,2
EQZDJK710E,4
DVMU1USRX8,3
LBH9J9AZCG,0
71L3LF8PB7,1
4P1WMDU3KI,1
AETG92PGRG,2
RNW2J4BW0R,0
4MN2ZMWIW8,1
108CN3HRGC,2
1SK5WVEVQD,2
MZ5PCMBEFI,2
J5EQUYNP1P,0
Y5S1FMS89V,0
WNWZ68N2XX,0
7UWQZJ0GPO,0
2ABGJ498T5,0
JG9D1P1C7N,1
114WW1LED8,8
YIZT2BIGCA,1
348FOBQ08X,0
94EIRV4Q33,4
4ZHMGKNO5B,3
2T7YXMFLQW,0
NFSAOZ8E3D,2
M89MCPJ0J4,0
5ZSZXFZDM0,3
T52MZJF5F8,4
0JDHD4ZFPQ,4
N6SEE4HNXS,0
WQOVGA9VJ9,1
67903IJ6BP,0
00U82YJ9SD,3
CVN1QOMCYD,2
JO5C9KNI4S,1
942V68TBKU,1
CFABJLKOP8,2
W5VHFAEOZR,0
YXLAHTKRXP,0
IO9ANIA13A,2
V3G3B55OJF,7
GL7UIIECPD,0
MVO4CIKF2L,5
OB54EYLBVT,0
T4KYWDDD0J,2
WCF8QVEH7W,4
22M1BECLXX,0
2190PDFK0E,5
IGA9077AUK,1
I03Y4EV1Q3,1
L2I6Q228TK,3
VQEXF1GMDE,0
BIF68OWTIC,4
1BQPBQYXC7,0
IKQKYPBWU8,1
N2W9SR4A95,0
NPHC2YU19V,3
QMGMP81PW4,1
1TIY8JNCYE,0
1OSXV1YUPO,1
SUIHJ21I8X,4
7RXJREX9HK,1
OHUVHI5PO3,2
ALU68Z8CDU,0
HGJ0RUI995,0
ZYLOGZF7SH,0
691M4RROSP,4
3NFHB2YLJF,1
NFBGJSLTB0,0
0S7XL5K50R,8
C699ROVXL6,3
WJ8D8806TG,4
JGK07IIWB3,1
EJNJ3BZKZR,0
BKZYM3Y7F7,2
45XEFX8V2B,3
06VH61G9SZ,8
RURGTZGD24,0
WYL3A6MTUR,0
