user_id,value
2LTJWJ9I5P,1
H6HOR3TJK2,0
LR2AO1LHLG,1
SKU4MO7G2L,3
QSAPL1GNPF,1
RG8H842HLO,0
TPUHG9J3W4,2
HMCD07OVXP,4
XNV1SBP84M,0
RVC0KPCW7K,2
7T7XJ6Q199,1
JQZ129I94T,6
BOVINGR83M,1
1OYWT3DZ56,0
PYSUPQ8E13,1
W7JV8O9G9H,0
N0DCEZ53UG,2
FBFX6675L8,3
WVZNKG1AJ4,1
TSFFN412LT,4
ZVN15Q3IB2,0
HKF4BSHTHT,7
DN3VVIDA6F,1
NS6GQSQMI5,0
RP5E9T3U24,1
LCMD9E3GOY,0
J5ARML2OH3,1
F84CR13VSY,0
PWAFPORLRX,1
N7WSXDS7WJ,0
IG9Z9V9XZ0,0
EULJNONA50,0
P6JTGQ6SXW,0
50LLDZ7OI9,3
IF1MO3A7WO,2
V1LFNDQIIG,1
OP1UW9WE4G,0
SMDUWRQ8RI,0
3G4RRF6947,0
CQQZP99WAR,0
XPHYEFKWBP,0
OS6RXW95XB,0
3CSHB7V3M3,5
6S9KFCGXPI,2
JFUVD33MT9,1
7AP2KZQ4ZQ,4
Y3N0T44R21,2
GEO6WBPEJ1,0
9FI4V3B19U,1
91Z0RKPXWN,10
HXS1RU95TZ,0
C4LXBDFJFV,3
ZJ1JC6FEC7,0
NTX6PHDQV0,1
JQCFVJWB38,2
LE4VT8XLS3,0
UNUNC6I3NQ,5
GS85BGSPXF,0
HO421RCQOW,0
9IJMMZ3UNT,1
618BBTGGK1,0
H9VRE762GH,1
HIT7ACNHUR,4
QG69OZ1GEB,1
NTKLQJUF2D,3
DGYI1YK5J7,0
ENWTP7M91Q,1
BZGXYZS82P,0
JYNO2I8G37,3
ZRYKZ7E4SX,2
VL3Z6PN3SX,4
V66LVHRERU,0
36VDZBJ0FQ,1
ERFGZ3OI7H,1
Y6OQX3PXH9,1
47SJQUL0HO,0
7ADJGCXDKW,0
V27WFR1BJJ,0
TOJ7ZUHAS3,0
0EHDRUCHT8,2
ZVGZMF65RO,0
9V5XZ6MQ52,2
39LOTQX2QO,4
B39UG4L0UU,1
SPEUBSII8R,0
E5YG5CTZ50,1
SG4GGWBEQV,6
90JINRP4NE,1
4Z8RV2CLL0,0
P58HK172Q3,0
S681U8H61Z,0
FCED0D15QY,1
0U6Z5TNH77,1
DOJWR98251,1
OV395A9TKJ,7
EXSQGXA8NW,8
D8V6W21ZRD,2
BQ7VNMKV2Q,1
4JJ7X30578,1
0Y60KG2T94,5
9NDMMNL2B5,3
L3PPN3HAM1,0
6N1I9CPLQ2,7
CQ1XTKBCL7,3
5GL80HPUM9,1
T4GZQ9L1FC,2
SQWA3KKN7Y,1
JUYYJS55O3,0
DACFX7Z067,2
GD9EP6KJS7,6
UCQALA18JB,0
9CWHFUG4FV,0
85578VDT9R,1
SLUSXKC9Y5,0
957252CBEJ,2
107JAHFPC9,1
OC23LWFM75,1
LL08NGU768,1
TWDQZH982D,5
KUP5ANJQKX,1
TS6R6M2D32,1
NLTSWQFKHV,2
KE20UEY3NG,1
3EIDC1KMTD,0
2PF2XLQO9Z,1
L799U3FAVB,0
W5NY0RVCOC,1
VJN0CWEHXO,1
SQ5DH285QT,3
FC5PYK5NMV,2
IMOKD53MQL,3
YI301T8G1J,0
1BNLVJ77YV,10
DHYWUXQOQV,3
GNHS0D6RRU,0
5LUPX3R7U2,1
