user_id,value
GAPPUBW1IC,14
KP9PN8SBWA,10
9GQBQFPYXB,10
5FBFQRGGBH,13
TNA0B0V821,12
HSJVYWKPFT,12
L8V9QMOF52,9
8RT92ZIN2C,11
ITCNJPBNCD,13
8FYSNUKWU8,14
EL24O4BEXW,11
A2Z3PH3P6Z,11
KJ4WQE0SC3,9
K3FWAAQJ2T,12
K6DWAQVC4F,11
JKZEC376JV,15
13HJCZSOQF,14
JA41GDTLSB,12
YSGWCI41TW,13
OTXUTMCAER,16
TG89PZTFKA,16
46PTDEKTKN,14
BL4L2I8OJ7,13
Z487NIS3D2,13
YOMHUESV3M,12
CUKW7JKO18,9
TT9NIUXSJM,12
AJ55T7K8NL,12
V4U7VOATQW,9
02YBENBAPZ,11
IX7UOQBSDG,8
TILCGNSC9W,11
ZQ8ZB5FE23,9
HVHVK1F3AJ,10
TP7E4U31HQ,9
Z9GEVM8A3O,15
14ZPKNZS9F,13
DRJTEZ4R3A,12
VH4V26Z2X2,7
N8XS8N5JRI,12
NIK83I91L4,12
N4MYJHY9H6,10
EQDWYBCO6F,10
C3G8VGFQJ4,10
U87Q8H1NHT,12
CFX2NGUBYF,11
R57SL85DFM,11
UM97VRE89Y,10
7E0E1N5PIP,13
LVV6FY1H07,6
7A87FB46NK,14
6DPCAG49OZ,7
69V7ZOC9N3,13
DAB95QRD17,9
BFC42DO4WS,13
D693S3PTX5,15
7XDFH1C2BR,13
40LNR5JB2M,10
FPGEOQ3J9A,9
GR1IQDFMBA,11
CGJIGW4GHS,10
PL3E6CXGI1,13
MD3WOG9TJ2,6
HGT1HLAWXT,14
FRM26GB58C,11
4296OCSP6L,11
X3R0NRDR4Y,12
FPLUWM5L2D,10
8R0QXMR7E9,11
FJ14E88X42,11
ZUOAVBPDJZ,11
8336JJ3TIN,12
4033QJ4EH7,13
ETH7G0YBLG,8
ITBMWX3Y48,12
KLYEJJVTNN,16
3T6OQIHT3T,9
RRJHCI0EJG,15
MWO085D54H,11
392KDSKFI7,10
3SSEFH4HJD,8
L5SWQSFI3E,13
B9HLCHQ08Y,10
2V7KJ6K7YE,12
JQ1DUH1ZVF,10
EKTN6L7TKU,10
H4JCA5KPFW,11
KGJNIEAJXK,12
L5W2FU2384,13
YI4LAYMNDI,13
67R9K2IR3T,11
6H4NO16JZY,11
90EK3URRC4,12
KQV0QK1VPR,10
CELIOL9992,9
6S9U59DZ53,11
U3BN100W9K,17
