user_id,value
43V6BSDB2G,1
A7YGXUF07L,6
Q3RXSZJ6R7,3
KDEMS148OM,1
JRP512M591,2
GHP2FYBXOY,6
YQZYTM59Q8,5
P1HW1BFKUG,0
R4Q8TD4NN9,0
S6MR1T6SKU,3
X53I6VWEP6,4
QICD2DBCRW,0
FPPF9VJ19M,0
FROG1W4I2D,0
R07V9SHIGG,0
9JS2XFDE27,0
U4LCPCM4MN,0
LF08ZTGZRT,1
NAC7S97FKX,0
405C4OQFUL,0
15HY38XTU7,0
3BXLZ29C6E,0
RLOL95IBMM,2
L1FAQG6T2X,1
XH0WIR7EUT,0
SWWLMGZUST,1
HVY3WT483J,1
AIE2I0DUXV,1
TKTDRXWFPV,0
LC9B2YTR36,0
TGN9SBX7V2,0
Y9G6JZW8M0,0
EFLIHCTEGC,1
DONSSZYTZK,0
UU6UGDR1MR,0
1NSZ8X6CQ4,0
6ESUWEU48A,0
EHQK3QWBNX,0
QWS02NSCOW,0
5FL8RHM6E4,0
7KM339XXI8,0
0A962I42BY,2
8ZOE00K9Y0,4
TSMG1SRJVU,0
7JNLT68MII,0
HWBTAGHPMM,1
SP97FPMJAO,8
VHFU5BLL2F,0
QGBOLKF6C6,1
K0LE0PKOR5,1
